SYMBOL,Timeframe,Returns,Sharpe_Ratio,Number_of_Trade,Max_Drawdown,Parameter
BTCUSDT,1min,-99.0912824821767,-11.851655941400432,2593,-99.13307665447374,BTCUSDT_1min
DOGEUSDT,1min,-0.6892501599999977,-3.439600414270517,2562,-0.7262613735293072,DOGEUSDT_1min
ETHUSDT,1min,-99.21127870540894,-10.409738623788778,2583,-99.26743311987269,ETHUSDT_1min
LTCUSDT,1min,-99.54572328672316,-8.868931527695873,2632,-99.6139455973562,LTCUSDT_1min
LUNCUSDT,1min,-0.000671409069999998,-5.738282190705223,2664,-0.0006875367556796833,LUNCUSDT_1min
HBARUSDT,1min,-0.4603705099999989,-2.6422337752147276,2640,-0.4995847411653897,HBARUSDT_1min
OMUSDT,1min,-5.644604060000013,-2.879518010092773,2540,-6.036527060373786,OMUSDT_1min
BNBUSDT,1min,-99.1569685620552,-10.632358494782745,2595,-99.17175378983394,BNBUSDT_1min
SOLUSDT,1min,-98.81045973797043,-6.259302755001217,2515,-99.0634127882784,SOLUSDT_1min
ZENUSDT,1min,-47.906039999999976,-1.7731742367065457,2681,-58.653660487970114,ZENUSDT_1min
NEARUSDT,1min,-31.66150899999997,-6.628534505222731,2534,-32.362695115203735,NEARUSDT_1min
APTUSDT,1min,-59.49990230000014,-6.160474507803966,2622,-59.957837954621674,APTUSDT_1min
ATOMUSDT,1min,-44.98666400000003,-8.873566639947493,2571,-45.57883863242008,ATOMUSDT_1min
ALGOUSDT,1min,-1.0734557999999996,-4.368782755114109,2645,-1.1190168488074217,ALGOUSDT_1min
SUIUSDT,1min,-5.716374799999995,-2.7666385922060153,2475,-6.436631433535549,SUIUSDT_1min
DOTUSDT,1min,-34.726497999999935,-6.78029401521991,2557,-35.273336393344685,DOTUSDT_1min
XLMUSDT,1min,-0.7958148999999975,-3.0418049251780817,2689,-0.8159935410026153,XLMUSDT_1min
TRXUSDT,1min,-0.4847461899999995,-4.512473087325913,2488,-0.49724108456224636,TRXUSDT_1min
PEPEUSDT,1min,-5.179552000000007e-05,-3.376446253713659,3067,-5.264156120958341e-05,PEPEUSDT_1min
BTCUSDT,3min,-61.53522825289552,-2.269107178908608,847,-67.77035086802813,BTCUSDT_3min
DOGEUSDT,3min,-0.21125123000000093,-1.0169883049400201,840,-0.3605450438197396,DOGEUSDT_3min
ETHUSDT,3min,-64.78757553007203,-2.118625438685319,832,-71.00404823032963,ETHUSDT_3min
LTCUSDT,3min,-84.04911545092818,-2.8450445004608875,881,-86.72386087333922,LTCUSDT_3min
LUNCUSDT,3min,-0.00033495961000000007,-2.77623813906239,930,-0.00037443180818553693,LUNCUSDT_3min
HBARUSDT,3min,-0.07613724999999999,-0.4407065886731096,819,-0.32071657682654375,HBARUSDT_3min
OMUSDT,3min,-2.596608399999999,-1.3311545954210038,839,-4.157207874197689,OMUSDT_3min
BNBUSDT,3min,-75.107513564816,-2.9136137545384977,845,-77.02531266210498,BNBUSDT_3min
SOLUSDT,3min,-76.88298860759832,-1.8713337090963926,820,-82.73800292101001,SOLUSDT_3min
ZENUSDT,3min,-6.2298699999999485,-0.20884280836788305,896,-24.611233767957778,ZENUSDT_3min
NEARUSDT,3min,-13.744786000000058,-2.8653961477188052,878,-15.117290613724382,NEARUSDT_3min
APTUSDT,3min,-24.69622869999994,-2.72438000677961,861,-26.55321544959651,APTUSDT_3min
ATOMUSDT,3min,-16.81771699999996,-3.39503838443937,863,-17.786500580699826,ATOMUSDT_3min
ALGOUSDT,3min,-0.11635179999999966,-0.4733587017985547,798,-0.2682210721534637,ALGOUSDT_3min
