SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
BTCUSDT,10,0.09933144075889856,0.7115982877641193,1.1548591994826882,28.947368421052634,38,25.95978075727059,-11.407251210163965,0.3826359000781572,0.12136087931744521,82.77369484549698,fastsma_10
BTCUSDT,20,0.4445879404599745,2.2122681994568376,1.9734121549380728,42.857142857142854,21,21.683794351806984,-9.40858721847011,2.0503235423044193,0.4901920952443303,,fastsma_20
BTCUSDT,30,0.47502043707966307,2.332702987109195,2.3006610905190477,40.0,20,17.478874969591352,-8.574139243993526,2.7176831341037326,0.6235509480709985,,fastsma_30
BTCUSDT,40,0.5621774082002298,2.647774993807418,3.0225457352951643,42.10526315789473,19,13.674358956637079,-6.315550919190731,4.111179251495132,0.7068972856528574,,fastsma_40
BTCUSDT,50,0.497546687288453,2.388707065553597,2.50487251993149,36.36363636363637,22,17.52091455332514,-8.510034912550246,2.8397301166794855,0.6212486086415516,,fastsma_50
BTCUSDT,60,0.8106962842009992,3.4938339460082593,5.022459047275313,45.45454545454545,22,10.623470300934024,-4.295556708776218,7.631181348807669,0.8509511915881007,,fastsma_60
BTCUSDT,70,0.47488390369400124,2.332088995199466,2.2687571545889686,52.17391304347826,23,14.110805065146614,-6.280000013029932,3.3653919921759408,0.6708760382560742,,fastsma_70
BTCUSDT,80,0.25522959524524863,1.4478291322136114,1.8091695255332398,42.857142857142854,28,15.616333831805218,-7.761120465407047,1.6343758912570878,0.5909601821170469,20.07956796711351,fastsma_80
ETHUSDT,10,0.6907209401224924,2.656936241111557,2.411869421749362,31.428571428571427,35,15.502740500330336,-7.21671909903591,4.455476372759864,0.7999530045710652,18.036064537197394,fastsma_10
ETHUSDT,20,0.5986082574937416,2.3636459070767963,1.9931836228007638,33.33333333333333,27,18.51960944715385,-7.732124722159088,3.232294175543413,0.7248083990979868,16.82647185905218,fastsma_20
ETHUSDT,30,0.6494424630164197,2.480467615337355,2.1678252689534405,37.5,24,17.465929102054634,-6.402211615608233,3.718339054405193,0.820203619524573,,fastsma_30
ETHUSDT,40,0.4606106383742872,1.9205790675001213,1.7157546643820276,37.5,24,20.690021635065225,-8.724424026194338,2.2262453200805226,0.620426252151006,,fastsma_40
ETHUSDT,50,0.41006997832073966,1.7576610207885268,1.5788123548503512,41.66666666666667,24,25.00048367019151,-10.202434713793004,1.6402481797169102,0.48722095182854297,,fastsma_50
